opponent,result,date,win,loss,margin,location,opponent rating
Florida St,1,2018-9-3,5,7,21,AWAY,0.433535169304531
FCS,1,2018-9-8,8,106,45,HOME,0.000769998244192226
Duke,1,2018-9-29,7,5,17,AWAY,0.5192774409515
North Carolina,1,2018-10-13,2,9,3,AWAY,0.260469377823359
Virginia,1,2018-11-23,7,5,3,HOME,0.523953179912563
Marshall,1,2018-12-1,8,4,21,HOME,0.531754889860287
Old Dominion,0,2018-9-22,4,8,14,AWAY,0.249476996007373
Notre Dame,0,2018-10-6,12,0,22,HOME,0.874948495859429
Georgia Tech,0,2018-10-25,7,5,21,HOME,0.524202622754867
Boston College,0,2018-11-3,7,5,10,HOME,0.583380130118003
Pittsburgh,0,2018-11-10,7,6,30,AWAY,0.539907904792352
Miami FL,0,2018-11-17,7,5,24,HOME,0.540586158977233
