opponent,result,date,win,loss,margin,location,opponent rating
Tulane,1,2018-8-30,6,6,6,AWAY,0.416988084377754
FCS,1,2018-9-8,8,106,31,HOME,0.000769998244192226
Rice,1,2018-9-29,2,11,32,HOME,0.087561129839736
Louisville,1,2018-10-27,2,10,21,AWAY,0.229406836627335
NC State,1,2018-11-8,9,3,4,AWAY,0.658476757405083
Duke,1,2018-11-24,7,5,52,AWAY,0.5192774409515
Boston College,0,2018-9-13,7,5,7,HOME,0.583380130118003
Notre Dame,0,2018-9-22,12,0,29,HOME,0.874948495859429
Clemson,0,2018-10-6,13,0,60,HOME,0.961719907014965
Florida St,0,2018-10-20,5,7,21,AWAY,0.433535169304531
Syracuse,0,2018-11-3,9,3,17,HOME,0.659872406070867
Pittsburgh,0,2018-11-17,7,6,21,HOME,0.539907904792352
