opponent,result,date,win,loss,margin,location,opponent rating
Wyoming,1,2018-9-1,6,6,22,AWAY,0.419358145826074
San Jose St,1,2018-9-8,1,11,31,HOME,0.159323559459047
FCS,1,2018-9-15,8,106,35,HOME,0.000769998244192226
Utah,1,2018-9-29,9,4,4,HOME,0.642840902543242
Oregon St,1,2018-10-6,2,10,19,AWAY,0.173732331314971
Oregon,1,2018-10-20,8,4,14,HOME,0.505073020726282
Stanford,1,2018-10-27,8,4,3,AWAY,0.61294634639621
California,1,2018-11-3,7,5,6,HOME,0.419560912467013
Colorado,1,2018-11-10,5,7,24,AWAY,0.347842752816767
Arizona,1,2018-11-17,5,7,41,HOME,0.42753875764292
USC,0,2018-9-21,5,7,3,AWAY,0.440537069586333
Washington,0,2018-11-23,10,3,13,HOME,0.679428969852715
