opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,38,HOME,0
Navy,1,3,10,28,HOME,0.315103022448376
UNLV,1,4,8,6,AWAY,0.252051625752559
New Mexico,1,3,9,18,HOME,0.251854482513044
Colorado St,1,3,9,8,HOME,0.173139698929123
FL Atlantic,0,5,7,6,AWAY,0.464365244957502
Utah St,0,11,2,10,AWAY,0.709348819577072
Nevada,0,8,5,3,HOME,0.462549617874116
San Diego St,0,7,6,4,AWAY,0.453631722244208
Boise St,0,10,3,10,HOME,0.661241436284587
Army,0,11,2,3,AWAY,0.640276175877117
Wyoming,0,6,6,8,AWAY,0.426410626815904
