opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,34,HOME,0
Northwestern,1,9,5,5,AWAY,0.592124234277441
Kent,1,2,10,1,AWAY,0.13037200946916
C Michigan,1,1,11,7,HOME,0.100403986752639
Iowa St,0,8,5,13,AWAY,0.561229793368094
Miami OH,0,6,6,24,HOME,0.460810460375801
Buffalo,0,10,4,18,AWAY,0.523867008423118
N Illinois,0,8,6,10,HOME,0.480862392379283
E Michigan,0,7,6,20,AWAY,0.439358785186795
Bowling Green,0,3,9,15,HOME,0.135938255373641
Ohio,0,9,4,21,AWAY,0.62572196696955
South Carolina,0,7,6,25,AWAY,0.514710547566948
