opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,35,HOME,0
Tulsa,1,3,9,23,HOME,0.241391716481203
Colorado St,0,3,9,7,AWAY,0.173139698929123
North Texas,0,9,4,27,HOME,0.541381233636251
Auburn,0,8,5,31,AWAY,0.642745675810216
Texas A&M,0,9,4,7,NEUTRAL,0.664633134138146
Alabama,0,14,0,34,HOME,1
Mississippi,0,5,7,4,HOME,0.449271175770247
Vanderbilt,0,6,7,14,HOME,0.509932850757502
LSU,0,10,3,7,HOME,0.735572309717144
Mississippi St,0,8,5,46,AWAY,0.682154921248824
Missouri,0,8,5,38,AWAY,0.675056331642552
