opponent,result,win,loss,margin,location,opponent rating
Liberty,1,6,6,24,HOME,0.355251247841316
Hawaii,1,8,6,7,HOME,0.408150406620541
Buffalo,1,10,4,29,AWAY,0.523867008423118
San Jose St,1,1,11,49,AWAY,0.175465955153662
Miami OH,1,6,6,1,HOME,0.460810460375801
E Michigan,1,7,6,15,AWAY,0.439358785186795
Air Force,1,5,7,3,HOME,0.426229925953771
FCS,1,7,105,18,HOME,0
FCS,1,7,105,14,HOME,0
Navy,1,3,10,7,NEUTRAL,0.315103022448376
Houston,1,8,5,56,NEUTRAL,0.479970439263144
Duke,0,8,5,20,AWAY,0.567534200408638
Oklahoma,0,12,2,7,AWAY,0.764740060188682
