opponent,result,win,loss,margin,location,opponent rating
Washington,1,10,4,5,NEUTRAL,0.660745564115389
FCS,1,7,105,54,HOME,0
Arkansas,1,2,10,31,HOME,0.269561279087869
Southern Miss,1,6,5,11,HOME,0.357423567738257
Mississippi,1,5,7,15,AWAY,0.449271175770247
Texas A&M,1,9,4,4,HOME,0.664633134138146
Liberty,1,6,6,53,HOME,0.355251247841316
Purdue,1,6,7,49,NEUTRAL,0.506030059410647
LSU,0,10,3,1,HOME,0.735572309717144
Mississippi St,0,8,5,14,AWAY,0.682154921248824
Tennessee,0,5,7,6,HOME,0.422015962637634
Georgia,0,11,3,17,AWAY,0.810867186758182
Alabama,0,14,0,31,AWAY,1
