opponent,result,win,loss,margin,location,opponent rating
Arizona,1,5,7,5,AWAY,0.424066220940179
Wisconsin,1,8,5,3,AWAY,0.567958674097364
FCS,1,7,105,27,HOME,0
Hawaii,1,8,6,26,HOME,0.408150406620541
Massachusetts,1,4,8,19,AWAY,0.254343288251207
New Mexico St,1,3,9,35,HOME,0.153979149049746
W Michigan,1,7,6,31,NEUTRAL,0.418516102398501
California,0,7,6,3,HOME,0.411141116490325
Washington,0,10,4,28,AWAY,0.660745564115389
Utah St,0,11,2,25,HOME,0.709348819577072
N Illinois,0,8,6,1,HOME,0.480862392379283
Boise St,0,10,3,5,AWAY,0.661241436284587
Utah,0,9,5,8,AWAY,0.608802068565144
