opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,36,HOME,0
Kent,1,2,10,28,HOME,0.13037200946916
C Michigan,1,1,11,1,AWAY,0.100403986752639
W Michigan,1,7,6,1,HOME,0.418516102398501
Notre Dame,0,12,1,8,AWAY,0.844437257140175
Indiana,0,5,7,28,AWAY,0.422050186990607
WKU,0,3,9,8,HOME,0.229427327829947
N Illinois,0,8,6,8,HOME,0.480862392379283
E Michigan,0,7,6,22,HOME,0.439358785186795
Ohio,0,9,4,38,AWAY,0.62572196696955
Toledo,0,7,6,32,AWAY,0.461848721670677
Miami OH,0,6,6,21,AWAY,0.460810460375801
