opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,38,HOME,0
Temple,1,8,5,7,AWAY,0.522150088392504
E Michigan,1,7,6,7,HOME,0.439358785186795
Rutgers,1,1,11,29,AWAY,0.138612686040577
C Michigan,1,1,11,10,AWAY,0.100403986752639
Akron,1,4,8,18,HOME,0.22443914083795
Toledo,1,7,6,14,AWAY,0.461848721670677
Miami OH,1,6,6,9,HOME,0.460810460375801
Kent,1,2,10,34,HOME,0.13037200946916
Bowling Green,1,3,9,30,AWAY,0.135938255373641
Army,0,11,2,29,HOME,0.640276175877117
Ohio,0,9,4,35,AWAY,0.62572196696955
N Illinois,0,8,6,1,NEUTRAL,0.480862392379283
Troy,0,10,3,10,NEUTRAL,0.591800333421546
