opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,12,HOME,0
Kentucky,0,10,3,15,AWAY,0.666913409286109
Kansas,0,3,9,24,HOME,0.224065447147087
N Illinois,0,8,6,8,AWAY,0.480862392379283
Michigan St,0,7,6,11,AWAY,0.520428272751941
Buffalo,0,10,4,10,HOME,0.523867008423118
Ball St,0,4,8,1,HOME,0.192343675937456
W Michigan,0,7,6,25,HOME,0.418516102398501
Akron,0,4,8,7,AWAY,0.22443914083795
E Michigan,0,7,6,10,AWAY,0.439358785186795
Bowling Green,0,3,9,11,HOME,0.135938255373641
Toledo,0,7,6,38,AWAY,0.461848721670677
