opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,24,HOME,0
Old Dominion,1,4,8,3,HOME,0.25538627982597
WKU,1,3,9,26,HOME,0.229427327829947
Southern Miss,1,6,5,3,HOME,0.357423567738257
FL Atlantic,1,5,7,3,AWAY,0.464365244957502
Appalachian St,0,11,2,36,HOME,0.712850366668184
Massachusetts,0,4,8,18,AWAY,0.254343288251207
UAB,0,11,3,21,AWAY,0.56055806620704
MTSU,0,8,6,8,AWAY,0.467875704477403
Tennessee,0,5,7,11,AWAY,0.422015962637634
Marshall,0,9,4,17,AWAY,0.556808262874295
Florida Intl,0,9,4,7,HOME,0.497134971571666
