opponent,result,win,loss,margin,location,opponent rating
UAB,1,11,3,23,HOME,0.56055806620704
FCS,1,7,105,37,AWAY,0
Louisiana,1,7,7,2,AWAY,0.44271414717056
Massachusetts,1,4,8,11,AWAY,0.254343288251207
Georgia St,1,2,10,3,AWAY,0.19549994605228
South Carolina,0,7,6,34,AWAY,0.514710547566948
Troy,0,10,3,24,AWAY,0.591800333421546
ULM,0,6,6,25,HOME,0.375198524654095
Appalachian St,0,11,2,16,HOME,0.712850366668184
Arkansas St,0,8,5,28,HOME,0.530087709394212
Ga Southern,0,10,3,24,HOME,0.603455934758269
South Alabama,0,3,9,3,AWAY,0.214704805609237
