opponent,result,win,loss,margin,location,opponent rating
Arkansas,1,2,10,7,HOME,0.269561279087869
San Jose St,1,1,11,12,AWAY,0.175465955153662
New Mexico,1,3,9,2,HOME,0.251854482513044
Hawaii,0,8,6,9,HOME,0.408150406620541
Colorado,0,5,7,32,NEUTRAL,0.345555373227308
Florida,0,10,3,38,AWAY,0.692193350891771
FCS,0,7,105,16,HOME,0
Boise St,0,10,3,28,AWAY,0.661241436284587
Wyoming,0,6,6,13,HOME,0.426410626815904
Nevada,0,8,5,39,AWAY,0.462549617874116
Utah St,0,11,2,5,HOME,0.709348819577072
Air Force,0,5,7,8,AWAY,0.426229925953771
