opponent,result,win,loss,margin,location,opponent rating
Colorado St,1,3,9,32,NEUTRAL,0.173139698929123
Nebraska,1,4,8,5,AWAY,0.415285209031898
FCS,1,7,105,31,HOME,0
UCLA,1,3,9,22,HOME,0.277638620281538
Arizona St,1,7,6,7,HOME,0.523774251519672
USC,0,5,7,11,AWAY,0.438914806858621
Washington,0,10,4,14,AWAY,0.660745564115389
Oregon St,0,2,10,7,HOME,0.173945302331521
Arizona,0,5,7,8,AWAY,0.424066220940179
Washington St,0,11,2,24,HOME,0.679506486962448
Utah,0,9,5,23,HOME,0.608802068565144
California,0,7,6,12,AWAY,0.411141116490325
