opponent,result,win,loss,margin,location,opponent rating
Army,1,11,2,20,HOME,0.640276175877117
Northwestern,1,9,5,14,AWAY,0.592124234277441
Baylor,1,7,6,13,AWAY,0.457475899245689
FCS,1,7,105,42,HOME,0
Georgia Tech,1,7,6,14,AWAY,0.487344960542351
Miami FL,1,7,6,8,AWAY,0.503470154008589
North Carolina,1,2,9,7,HOME,0.256631219072605
Temple,1,8,5,29,NEUTRAL,0.522150088392504
Virginia Tech,0,6,7,17,HOME,0.430625847701096
Virginia,0,8,5,14,HOME,0.562644906315841
Pittsburgh,0,7,7,9,AWAY,0.521348597019389
Clemson,0,14,0,29,AWAY,0.990812692799921
Wake Forest,0,7,6,52,HOME,0.501173626857492
