opponent,result,win,loss,margin,location,opponent rating
Colorado St,1,3,9,16,NEUTRAL,0.173139698929123
Kansas,1,3,9,3,NEUTRAL,0.224065447147087
WKU,1,3,9,3,NEUTRAL,0.229427327829947
East Carolina,1,3,9,5,NEUTRAL,0.216695196065081
Temple,1,8,5,2,NEUTRAL,0.522150088392504
San Jose St,1,1,11,6,NEUTRAL,0.175465955153662
UTEP,1,1,11,20,NEUTRAL,0.0110207184927679
Air Force,0,5,7,38,NEUTRAL,0.426229925953771
New Mexico,0,3,9,32,NEUTRAL,0.251854482513044
Utah St,0,11,2,61,NEUTRAL,0.709348819577072
Wyoming,0,6,6,3,NEUTRAL,0.426410626815904
Akron,0,4,8,34,NEUTRAL,0.22443914083795
Bowling Green,0,3,9,7,NEUTRAL,0.135938255373641
Buffalo,0,10,4,38,NEUTRAL,0.523867008423118
Kent,0,2,10,40,NEUTRAL,0.13037200946916
Ohio,0,9,4,6,NEUTRAL,0.62572196696955
Alabama,0,14,0,33,NEUTRAL,1
Arkansas,0,2,10,35,NEUTRAL,0.269561279087869
Auburn,0,8,5,54,NEUTRAL,0.642745675810216
LSU,0,10,3,31,NEUTRAL,0.735572309717144
Mississippi,0,5,7,35,NEUTRAL,0.449271175770247
Mississippi St,0,8,5,57,NEUTRAL,0.682154921248824
Texas A&M,0,9,4,52,NEUTRAL,0.664633134138146
Appalachian St,0,11,2,65,NEUTRAL,0.712850366668184
Coastal Car,0,5,7,37,NEUTRAL,0.32327706941078
Ga Southern,0,10,3,31,NEUTRAL,0.603455934758269
Georgia St,0,2,10,4,NEUTRAL,0.19549994605228
Troy,0,10,3,52,NEUTRAL,0.591800333421546
Arizona,0,5,7,31,NEUTRAL,0.424066220940179
Colorado,0,5,7,31,NEUTRAL,0.345555373227308
Utah,0,9,5,31,NEUTRAL,0.608802068565144
Arkansas St,0,8,5,27,NEUTRAL,0.530087709394212
South Alabama,0,3,9,38,NEUTRAL,0.214704805609237
Texas St,0,3,9,16,NEUTRAL,0.214944336660906
Louisiana,0,7,7,32,NEUTRAL,0.44271414717056
ULM,0,6,6,3,NEUTRAL,0.375198524654095
Army,0,11,2,18,NEUTRAL,0.640276175877117
Army,0,11,2,14,NEUTRAL,0.640276175877117
BYU,0,7,6,27,NEUTRAL,0.507034915829849
Liberty,0,6,6,7,NEUTRAL,0.355251247841316
Liberty,0,6,6,35,NEUTRAL,0.355251247841316
Massachusetts,0,4,8,48,NEUTRAL,0.254343288251207
New Mexico St,0,3,9,10,NEUTRAL,0.153979149049746
Ball St,0,4,8,36,NEUTRAL,0.192343675937456
C Michigan,0,1,11,12,NEUTRAL,0.100403986752639
E Michigan,0,7,6,34,NEUTRAL,0.439358785186795
Toledo,0,7,6,63,NEUTRAL,0.461848721670677
W Michigan,0,7,6,68,NEUTRAL,0.418516102398501
Baylor,0,7,6,28,NEUTRAL,0.457475899245689
Iowa St,0,8,5,3,NEUTRAL,0.561229793368094
Kansas St,0,5,7,3,NEUTRAL,0.47285293300288
Oklahoma St,0,7,6,41,NEUTRAL,0.534968323353985
TCU,0,7,6,48,NEUTRAL,0.487010655749268
Texas Tech,0,5,7,77,NEUTRAL,0.435467242517456
West Virginia,0,8,4,35,NEUTRAL,0.656882056858188
Boston College,0,7,5,48,NEUTRAL,0.581846892013108
Clemson,0,14,0,41,NEUTRAL,0.990812692799921
Florida St,0,5,7,10,NEUTRAL,0.436235351803227
Louisville,0,2,10,24,NEUTRAL,0.235775221413613
NC State,0,9,4,11,NEUTRAL,0.62288371551841
Syracuse,0,10,3,52,NEUTRAL,0.678292056994081
Wake Forest,0,7,6,31,NEUTRAL,0.501173626857492
California,0,7,6,22,NEUTRAL,0.411141116490325
Oregon,0,9,4,48,NEUTRAL,0.520947378286872
Oregon St,0,2,10,23,NEUTRAL,0.173945302331521
Stanford,0,9,4,20,NEUTRAL,0.614297157377443
Washington,0,10,4,42,NEUTRAL,0.660745564115389
Washington St,0,11,2,35,NEUTRAL,0.679506486962448
Charlotte,0,5,7,24,NEUTRAL,0.337664457437358
FL Atlantic,0,5,7,21,NEUTRAL,0.464365244957502
Florida Intl,0,9,4,46,NEUTRAL,0.497134971571666
Marshall,0,9,4,16,NEUTRAL,0.556808262874295
MTSU,0,8,6,24,NEUTRAL,0.467875704477403
Old Dominion,0,4,8,63,NEUTRAL,0.25538627982597
