opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,47,HOME,0
Colorado St,1,3,9,38,HOME,0.173139698929123
Tennessee,1,5,7,26,AWAY,0.422015962637634
Mississippi St,1,8,5,7,AWAY,0.682154921248824
LSU,1,10,3,8,HOME,0.735572309717144
Vanderbilt,1,6,7,10,AWAY,0.509932850757502
South Carolina,1,7,6,4,HOME,0.514710547566948
FCS,1,7,105,53,HOME,0
Florida St,1,5,7,27,AWAY,0.436235351803227
Michigan,1,10,3,26,NEUTRAL,0.764887421508679
Kentucky,0,10,3,11,HOME,0.666913409286109
Georgia,0,11,3,19,NEUTRAL,0.810867186758182
Missouri,0,8,5,21,HOME,0.675056331642552
