opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,66,HOME,0
UCLA,1,3,9,24,AWAY,0.277638620281538
Toledo,1,7,6,22,HOME,0.461848721670677
Nevada,1,8,5,18,AWAY,0.462549617874116
Wyoming,1,6,6,24,HOME,0.426410626815904
New Mexico,1,3,9,31,AWAY,0.251854482513044
Hawaii,1,8,6,30,HOME,0.408150406620541
UNLV,1,4,8,45,AWAY,0.252051625752559
San Diego St,1,7,6,9,HOME,0.453631722244208
San Jose St,1,1,11,18,HOME,0.175465955153662
Boise St,1,10,3,3,AWAY,0.661241436284587
Arizona St,1,7,6,11,NEUTRAL,0.523774251519672
Minnesota,0,7,6,7,AWAY,0.499302449191155
Boise St,0,10,3,7,AWAY,0.661241436284587
