opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,4,HOME,0
ULM,1,6,6,32,HOME,0.375198524654095
NC State,0,9,4,34,AWAY,0.62288371551841
Memphis,0,8,6,37,AWAY,0.524851937999456
W Michigan,0,7,6,19,HOME,0.418516102398501
Troy,0,10,3,17,AWAY,0.591800333421546
Arkansas St,0,8,5,16,AWAY,0.530087709394212
Coastal Car,0,5,7,3,HOME,0.32327706941078
Texas St,0,3,9,9,HOME,0.214944336660906
Louisiana,0,7,7,14,AWAY,0.44271414717056
Appalachian St,0,11,2,28,AWAY,0.712850366668184
Ga Southern,0,10,3,21,HOME,0.603455934758269
