opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,41,HOME,0
Bowling Green,1,3,9,46,HOME,0.135938255373641
Louisville,1,2,10,35,AWAY,0.235775221413613
Virginia Tech,1,6,7,21,AWAY,0.430625847701096
North Carolina,1,2,9,10,AWAY,0.256631219072605
Miami FL,1,7,6,6,HOME,0.503470154008589
Virginia,1,8,5,3,HOME,0.562644906315841
South Florida,0,7,6,11,AWAY,0.400887011838441
Pittsburgh,0,7,7,5,AWAY,0.521348597019389
Clemson,0,14,0,28,HOME,0.990812692799921
Duke,0,8,5,14,HOME,0.567534200408638
Georgia,0,11,3,24,AWAY,0.810867186758182
Minnesota,0,7,6,24,NEUTRAL,0.499302449191155
