opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,45,HOME,0
South Carolina,1,7,6,24,AWAY,0.514710547566948
MTSU,1,8,6,42,HOME,0.467875704477403
Missouri,1,8,5,14,AWAY,0.675056331642552
Tennessee,1,5,7,26,HOME,0.422015962637634
Vanderbilt,1,6,7,28,HOME,0.509932850757502
Florida,1,10,3,19,NEUTRAL,0.692193350891771
Kentucky,1,10,3,17,AWAY,0.666913409286109
Auburn,1,8,5,17,HOME,0.642745675810216
Massachusetts,1,4,8,39,HOME,0.254343288251207
Georgia Tech,1,7,6,24,HOME,0.487344960542351
LSU,0,10,3,20,AWAY,0.735572309717144
Alabama,0,14,0,7,NEUTRAL,1
Texas,0,10,4,7,NEUTRAL,0.640071305086225
