opponent,result,win,loss,margin,location,opponent rating
Florida Intl,1,9,4,10,AWAY,0.497134971571666
Virginia,1,8,5,4,HOME,0.562644906315841
Ball St,1,4,8,28,HOME,0.192343675937456
Rutgers,1,1,11,7,AWAY,0.138612686040577
Maryland,1,5,7,2,HOME,0.454061818330507
Michigan St,0,7,6,14,HOME,0.520428272751941
Ohio St,0,13,1,23,AWAY,0.790511988190006
Iowa,0,9,4,26,HOME,0.662166177976944
Penn St,0,9,4,5,HOME,0.665754163150452
Minnesota,0,7,6,7,AWAY,0.499302449191155
Michigan,0,10,3,11,AWAY,0.764887421508679
Purdue,0,6,7,7,HOME,0.506030059410647
