opponent,result,win,loss,margin,location,opponent rating
Akron,1,4,8,13,HOME,0.22443914083795
Oklahoma St,1,7,6,6,AWAY,0.534968323353985
West Virginia,1,8,4,16,HOME,0.656882056858188
Texas Tech,1,5,7,9,HOME,0.435467242517456
Kansas,1,3,9,24,AWAY,0.224065447147087
Baylor,1,7,6,14,HOME,0.457475899245689
Kansas St,1,5,7,4,HOME,0.47285293300288
FCS,1,7,105,3,HOME,0
Iowa,0,9,4,10,AWAY,0.662166177976944
Oklahoma,0,12,2,10,HOME,0.764740060188682
TCU,0,7,6,3,AWAY,0.487010655749268
Texas,0,10,4,14,AWAY,0.640071305086225
Washington St,0,11,2,2,NEUTRAL,0.679506486962448
