opponent,result,win,loss,margin,location,opponent rating
N Illinois,1,8,6,26,HOME,0.480862392379283
Iowa St,1,8,5,10,HOME,0.561229793368094
FCS,1,7,105,24,HOME,0
Minnesota,1,7,6,17,AWAY,0.499302449191155
Indiana,1,5,7,26,AWAY,0.422050186990607
Maryland,1,5,7,23,HOME,0.454061818330507
Illinois,1,4,8,63,AWAY,0.253418513765241
Nebraska,1,4,8,3,HOME,0.415285209031898
Mississippi St,1,8,5,5,NEUTRAL,0.682154921248824
Wisconsin,0,8,5,11,HOME,0.567958674097364
Penn St,0,9,4,6,AWAY,0.665754163150452
Purdue,0,6,7,2,AWAY,0.506030059410647
Northwestern,0,9,5,4,HOME,0.592124234277441
