opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,15,HOME,0.100403986752639
Florida,1,10,3,11,AWAY,0.692193350891771
FCS,1,7,105,38,HOME,0
Mississippi St,1,8,5,21,HOME,0.682154921248824
South Carolina,1,7,6,14,HOME,0.514710547566948
Vanderbilt,1,6,7,7,HOME,0.509932850757502
Missouri,1,8,5,1,AWAY,0.675056331642552
MTSU,1,8,6,11,HOME,0.467875704477403
Louisville,1,2,10,46,AWAY,0.235775221413613
Penn St,1,9,4,3,NEUTRAL,0.665754163150452
Texas A&M,0,9,4,6,AWAY,0.664633134138146
Georgia,0,11,3,17,HOME,0.810867186758182
Tennessee,0,5,7,17,AWAY,0.422015962637634
