opponent,result,win,loss,margin,location,opponent rating
Miami FL,1,7,6,16,NEUTRAL,0.503470154008589
FCS,1,7,105,31,HOME,0
Auburn,1,8,5,1,AWAY,0.642745675810216
Louisiana Tech,1,8,5,17,HOME,0.479172964225609
Mississippi,1,5,7,29,HOME,0.449271175770247
Georgia,1,11,3,20,HOME,0.810867186758182
Mississippi St,1,8,5,16,HOME,0.682154921248824
Arkansas,1,2,10,7,AWAY,0.269561279087869
Rice,1,2,11,32,HOME,0.0981415157038384
UCF,1,12,1,8,NEUTRAL,0.774701532567457
Florida,0,10,3,8,AWAY,0.692193350891771
Alabama,0,14,0,29,HOME,1
Texas A&M,0,9,4,2,AWAY,0.664633134138146
