opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,32,HOME,0
Texas St,1,3,9,15,AWAY,0.214944336660906
New Mexico St,1,3,9,28,HOME,0.153979149049746
Arkansas St,1,8,5,4,HOME,0.530087709394212
Georgia St,1,2,10,14,HOME,0.19549994605228
South Alabama,1,3,9,10,HOME,0.214704805609237
ULM,1,6,6,3,AWAY,0.375198524654095
Mississippi St,0,8,5,46,AWAY,0.682154921248824
Coastal Car,0,5,7,2,HOME,0.32327706941078
Alabama,0,14,0,42,AWAY,1
Appalachian St,0,11,2,10,AWAY,0.712850366668184
Troy,0,10,3,10,AWAY,0.591800333421546
Appalachian St,0,11,2,11,AWAY,0.712850366668184
Tulane,0,7,6,17,NEUTRAL,0.446451273888092
