opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,24,HOME,0
WKU,1,3,9,3,HOME,0.229427327829947
Alabama,0,14,0,37,NEUTRAL,1
Virginia,0,8,5,24,AWAY,0.562644906315841
Florida St,0,5,7,4,HOME,0.436235351803227
Georgia Tech,0,7,6,35,HOME,0.487344960542351
Boston College,0,7,5,18,AWAY,0.581846892013108
Wake Forest,0,7,6,21,HOME,0.501173626857492
Clemson,0,14,0,61,AWAY,0.990812692799921
Syracuse,0,10,3,31,AWAY,0.678292056994081
NC State,0,9,4,42,HOME,0.62288371551841
Kentucky,0,10,3,46,HOME,0.666913409286109
