opponent,result,win,loss,margin,location,opponent rating
Texas,1,10,4,5,HOME,0.640071305086225
Bowling Green,1,3,9,31,AWAY,0.135938255373641
Minnesota,1,7,6,29,HOME,0.499302449191155
Rutgers,1,1,11,27,HOME,0.138612686040577
Illinois,1,4,8,30,HOME,0.253418513765241
Temple,0,8,5,21,HOME,0.522150088392504
Michigan,0,10,3,21,AWAY,0.764887421508679
Iowa,0,9,4,23,AWAY,0.662166177976944
Michigan St,0,7,6,21,HOME,0.520428272751941
Indiana,0,5,7,2,AWAY,0.422050186990607
Ohio St,0,13,1,1,HOME,0.790511988190006
Penn St,0,9,4,35,AWAY,0.665754163150452
