opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,52,HOME,0
Georgia St,1,2,10,37,HOME,0.19549994605228
South Alabama,1,3,9,17,HOME,0.214704805609237
Connecticut,1,1,11,41,HOME,0.0489040710715356
East Carolina,1,3,9,18,AWAY,0.216695196065081
Tulsa,1,3,9,26,HOME,0.241391716481203
SMU,1,5,7,10,AWAY,0.332345710726131
Houston,1,8,5,21,HOME,0.479970439263144
Navy,0,3,10,1,AWAY,0.315103022448376
Tulane,0,7,6,16,AWAY,0.446451273888092
UCF,0,12,1,1,HOME,0.774701532567457
Missouri,0,8,5,32,AWAY,0.675056331642552
UCF,0,12,1,15,AWAY,0.774701532567457
Wake Forest,0,7,6,3,NEUTRAL,0.501173626857492
