opponent,result,win,loss,margin,location,opponent rating
Bowling Green,1,3,9,15,AWAY,0.135938255373641
Akron,1,4,8,24,AWAY,0.22443914083795
Kent,1,2,10,25,HOME,0.13037200946916
Ohio,1,9,4,2,HOME,0.62572196696955
N Illinois,1,8,6,6,AWAY,0.480862392379283
Ball St,1,4,8,21,HOME,0.192343675937456
Marshall,0,9,4,7,HOME,0.556808262874295
Cincinnati,0,11,2,21,AWAY,0.655429618417824
Minnesota,0,7,6,23,AWAY,0.499302449191155
W Michigan,0,7,6,1,HOME,0.418516102398501
Army,0,11,2,1,AWAY,0.640276175877117
Buffalo,0,10,4,9,AWAY,0.523867008423118
