opponent,result,win,loss,margin,location,opponent rating
Utah St,1,11,2,7,HOME,0.709348819577072
Indiana,1,5,7,14,AWAY,0.422050186990607
C Michigan,1,1,11,11,HOME,0.100403986752639
Penn St,1,9,4,4,AWAY,0.665754163150452
Purdue,1,6,7,10,HOME,0.506030059410647
Maryland,1,5,7,21,AWAY,0.454061818330507
Rutgers,1,1,11,4,HOME,0.138612686040577
Arizona St,0,7,6,3,AWAY,0.523774251519672
Northwestern,0,9,5,10,HOME,0.592124234277441
Michigan,0,10,3,14,HOME,0.764887421508679
Ohio St,0,13,1,20,HOME,0.790511988190006
Nebraska,0,4,8,3,AWAY,0.415285209031898
Oregon,0,9,4,1,NEUTRAL,0.520947378286872
