opponent,result,win,loss,margin,location,opponent rating
W Michigan,1,7,6,46,HOME,0.418516102398501
SMU,1,5,7,25,HOME,0.332345710726131
Nebraska,1,4,8,46,HOME,0.415285209031898
Northwestern,1,9,5,3,AWAY,0.592124234277441
Maryland,1,5,7,21,HOME,0.454061818330507
Wisconsin,1,8,5,25,HOME,0.567958674097364
Michigan St,1,7,6,14,AWAY,0.520428272751941
Penn St,1,9,4,35,HOME,0.665754163150452
Rutgers,1,1,11,35,AWAY,0.138612686040577
Indiana,1,5,7,11,HOME,0.422050186990607
Notre Dame,0,12,1,7,AWAY,0.844437257140175
Ohio St,0,13,1,23,AWAY,0.790511988190006
Florida,0,10,3,26,NEUTRAL,0.692193350891771
