opponent,result,win,loss,margin,location,opponent rating
New Mexico St,1,3,9,38,HOME,0.153979149049746
Fresno St,1,12,2,7,HOME,0.717287526132863
Miami OH,1,6,6,23,HOME,0.460810460375801
Indiana,1,5,7,7,HOME,0.422050186990607
Purdue,1,6,7,31,HOME,0.506030059410647
Wisconsin,1,8,5,22,AWAY,0.567958674097364
Georgia Tech,1,7,6,24,NEUTRAL,0.487344960542351
Maryland,0,5,7,29,AWAY,0.454061818330507
Iowa,0,9,4,17,HOME,0.662166177976944
Ohio St,0,13,1,16,AWAY,0.790511988190006
Nebraska,0,4,8,25,AWAY,0.415285209031898
Illinois,0,4,8,24,AWAY,0.253418513765241
Northwestern,0,9,5,10,HOME,0.592124234277441
