opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,57,HOME,0
Kansas St,1,5,7,21,AWAY,0.47285293300288
Louisiana,1,7,7,46,HOME,0.44271414717056
Auburn,1,8,5,14,HOME,0.642745675810216
Texas A&M,1,9,4,15,HOME,0.664633134138146
Louisiana Tech,1,8,5,42,HOME,0.479172964225609
Arkansas,1,2,10,46,HOME,0.269561279087869
Mississippi,1,5,7,32,AWAY,0.449271175770247
Kentucky,0,10,3,21,AWAY,0.666913409286109
Florida,0,10,3,7,HOME,0.692193350891771
LSU,0,10,3,16,AWAY,0.735572309717144
Alabama,0,14,0,24,AWAY,1
Iowa,0,9,4,5,NEUTRAL,0.662166177976944
