opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,37,HOME,0
Wyoming,1,6,6,27,HOME,0.426410626815904
Purdue,1,6,7,3,AWAY,0.506030059410647
Memphis,1,8,6,32,HOME,0.524851937999456
Florida,1,10,3,21,AWAY,0.692193350891771
Vanderbilt,1,6,7,5,HOME,0.509932850757502
Tennessee,1,5,7,33,AWAY,0.422015962637634
Arkansas,1,2,10,38,HOME,0.269561279087869
Georgia,0,11,3,14,HOME,0.810867186758182
South Carolina,0,7,6,2,AWAY,0.514710547566948
Alabama,0,14,0,29,AWAY,1
Kentucky,0,10,3,1,HOME,0.666913409286109
Oklahoma St,0,7,6,5,NEUTRAL,0.534968323353985
