opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,53,HOME,0
Oregon St,1,2,10,2,HOME,0.173945302331521
Air Force,1,5,7,3,AWAY,0.426229925953771
Hawaii,1,8,6,18,AWAY,0.408150406620541
San Diego St,1,7,6,4,HOME,0.453631722244208
Colorado St,1,3,9,39,HOME,0.173139698929123
San Jose St,1,1,11,9,AWAY,0.175465955153662
Arkansas St,1,8,5,3,NEUTRAL,0.530087709394212
Vanderbilt,0,6,7,31,AWAY,0.509932850757502
Toledo,0,7,6,19,AWAY,0.461848721670677
Fresno St,0,12,2,18,HOME,0.717287526132863
Boise St,0,10,3,4,HOME,0.661241436284587
UNLV,0,4,8,5,AWAY,0.252051625752559
