opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,32,HOME,0
New Mexico St,1,3,9,17,AWAY,0.153979149049746
UNLV,1,4,8,36,AWAY,0.252051625752559
Wisconsin,0,8,5,31,AWAY,0.567958674097364
Liberty,0,6,6,9,HOME,0.355251247841316
Colorado St,0,3,9,2,AWAY,0.173139698929123
Fresno St,0,12,2,31,HOME,0.717287526132863
Utah St,0,11,2,42,AWAY,0.709348819577072
San Diego St,0,7,6,8,HOME,0.453631722244208
Air Force,0,5,7,18,AWAY,0.426229925953771
Boise St,0,10,3,31,HOME,0.661241436284587
Wyoming,0,6,6,28,HOME,0.426410626815904
