opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,41,HOME,0
South Alabama,1,3,9,42,HOME,0.214704805609237
Boise St,1,10,3,23,HOME,0.661241436284587
Kansas,1,3,9,20,AWAY,0.224065447147087
Texas,1,10,4,3,HOME,0.640071305086225
West Virginia,1,8,4,4,HOME,0.656882056858188
Missouri,1,8,5,5,NEUTRAL,0.675056331642552
Texas Tech,0,5,7,24,HOME,0.435467242517456
Iowa St,0,8,5,6,HOME,0.561229793368094
Kansas St,0,5,7,19,AWAY,0.47285293300288
Baylor,0,7,6,4,AWAY,0.457475899245689
Oklahoma,0,12,2,1,AWAY,0.764740060188682
TCU,0,7,6,7,AWAY,0.487010655749268
