opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,23,HOME,0
Colorado,1,5,7,7,AWAY,0.345555373227308
Ohio St,0,13,1,46,AWAY,0.790511988190006
Nevada,0,8,5,2,AWAY,0.462549617874116
Arizona,0,5,7,21,HOME,0.424066220940179
Arizona St,0,7,6,28,AWAY,0.523774251519672
Washington St,0,11,2,19,HOME,0.679506486962448
California,0,7,6,42,HOME,0.411141116490325
USC,0,5,7,17,HOME,0.438914806858621
Stanford,0,9,4,31,AWAY,0.614297157377443
Washington,0,10,4,19,AWAY,0.660745564115389
Oregon,0,9,4,40,HOME,0.520947378286872
