opponent,result,win,loss,margin,location,opponent rating
Bowling Green,1,3,9,34,HOME,0.135938255373641
FCS,1,7,105,48,HOME,0
San Jose St,1,1,11,13,HOME,0.175465955153662
California,1,7,6,18,AWAY,0.411141116490325
Washington,1,10,4,3,HOME,0.660745564115389
UCLA,1,3,9,21,HOME,0.277638620281538
Arizona St,1,7,6,2,HOME,0.523774251519672
Oregon St,1,2,10,40,AWAY,0.173945302331521
Michigan St,1,7,6,1,NEUTRAL,0.520428272751941
Stanford,0,9,4,7,HOME,0.614297157377443
Washington St,0,11,2,14,AWAY,0.679506486962448
Arizona,0,5,7,29,AWAY,0.424066220940179
Utah,0,9,5,7,AWAY,0.608802068565144
