opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,26,HOME,0
Georgia Tech,1,7,6,5,HOME,0.487344960542351
Syracuse,1,10,3,7,HOME,0.678292056994081
Duke,1,8,5,9,HOME,0.567534200408638
Virginia,1,8,5,10,AWAY,0.562644906315841
Virginia Tech,1,6,7,30,HOME,0.430625847701096
Wake Forest,1,7,6,21,AWAY,0.501173626857492
Penn St,0,9,4,45,HOME,0.665754163150452
North Carolina,0,2,9,3,AWAY,0.256631219072605
UCF,0,12,1,31,AWAY,0.774701532567457
Notre Dame,0,12,1,5,AWAY,0.844437257140175
Miami FL,0,7,6,21,AWAY,0.503470154008589
Clemson,0,14,0,32,NEUTRAL,0.990812692799921
Stanford,0,9,4,1,NEUTRAL,0.614297157377443
