opponent,result,win,loss,margin,location,opponent rating
Boston College,1,7,5,17,HOME,0.581846892013108
Nebraska,1,4,8,14,AWAY,0.415285209031898
Illinois,1,4,8,39,AWAY,0.253418513765241
Ohio St,1,13,1,29,HOME,0.790511988190006
Iowa,1,9,4,2,HOME,0.662166177976944
Indiana,1,5,7,7,AWAY,0.422050186990607
Northwestern,0,9,5,4,HOME,0.592124234277441
E Michigan,0,7,6,1,HOME,0.439358785186795
Missouri,0,8,5,3,HOME,0.675056331642552
Michigan St,0,7,6,10,AWAY,0.520428272751941
Minnesota,0,7,6,31,AWAY,0.499302449191155
Wisconsin,0,8,5,3,HOME,0.567958674097364
Auburn,0,8,5,49,NEUTRAL,0.642745675810216
