opponent,result,win,loss,margin,location,opponent rating
UNLV,1,4,8,13,HOME,0.252051625752559
FCS,0,7,105,6,HOME,0
Washington St,0,11,2,31,AWAY,0.679506486962448
Oregon,0,9,4,13,AWAY,0.520947378286872
Hawaii,0,8,6,3,HOME,0.408150406620541
Colorado St,0,3,9,12,HOME,0.173139698929123
Army,0,11,2,49,HOME,0.640276175877117
San Diego St,0,7,6,3,AWAY,0.453631722244208
Wyoming,0,6,6,15,AWAY,0.426410626815904
Utah St,0,11,2,38,AWAY,0.709348819577072
Nevada,0,8,5,9,HOME,0.462549617874116
Fresno St,0,12,2,18,AWAY,0.717287526132863
