opponent,result,win,loss,margin,location,opponent rating
Coastal Car,1,5,7,34,HOME,0.32327706941078
Vanderbilt,1,6,7,23,AWAY,0.509932850757502
Missouri,1,8,5,2,HOME,0.675056331642552
Tennessee,1,5,7,3,HOME,0.422015962637634
Mississippi,1,5,7,4,AWAY,0.449271175770247
FCS,1,7,105,40,HOME,0
Akron,1,4,8,25,HOME,0.22443914083795
Georgia,0,11,3,24,HOME,0.810867186758182
Kentucky,0,10,3,14,AWAY,0.666913409286109
Texas A&M,0,9,4,3,HOME,0.664633134138146
Florida,0,10,3,4,AWAY,0.692193350891771
Clemson,0,14,0,21,AWAY,0.990812692799921
Virginia,0,8,5,28,NEUTRAL,0.562644906315841
