opponent,result,win,loss,margin,location,opponent rating
W Michigan,1,7,6,13,AWAY,0.418516102398501
FCS,1,7,105,52,HOME,0
Florida St,1,5,7,23,HOME,0.436235351803227
Connecticut,1,1,11,30,HOME,0.0489040710715356
North Carolina,1,2,9,3,HOME,0.256631219072605
NC State,1,9,4,10,HOME,0.62288371551841
Wake Forest,1,7,6,17,AWAY,0.501173626857492
Louisville,1,2,10,31,HOME,0.235775221413613
Boston College,1,7,5,21,AWAY,0.581846892013108
West Virginia,1,8,4,16,NEUTRAL,0.656882056858188
Clemson,0,14,0,4,AWAY,0.990812692799921
Pittsburgh,0,7,7,7,AWAY,0.521348597019389
Notre Dame,0,12,1,33,NEUTRAL,0.844437257140175
