opponent,result,win,loss,margin,location,opponent rating
Maryland,1,5,7,21,AWAY,0.454061818330507
Tulsa,1,3,9,14,HOME,0.241391716481203
East Carolina,1,3,9,43,HOME,0.216695196065081
Navy,1,3,10,7,AWAY,0.315103022448376
Cincinnati,1,11,2,7,HOME,0.655429618417824
Houston,1,8,5,10,AWAY,0.479970439263144
South Florida,1,7,6,10,HOME,0.400887011838441
Connecticut,1,1,11,50,AWAY,0.0489040710715356
FCS,0,7,105,2,HOME,0
Buffalo,0,10,4,7,HOME,0.523867008423118
Boston College,0,7,5,10,AWAY,0.581846892013108
UCF,0,12,1,12,AWAY,0.774701532567457
Duke,0,8,5,29,NEUTRAL,0.567534200408638
