opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,56,HOME,0
UTEP,1,1,11,24,HOME,0.0110207184927679
Auburn,1,8,5,6,AWAY,0.642745675810216
Charlotte,1,5,7,11,HOME,0.337664457437358
Kentucky,1,10,3,17,HOME,0.666913409286109
West Virginia,0,8,4,26,NEUTRAL,0.656882056858188
Florida,0,10,3,26,HOME,0.692193350891771
Georgia,0,11,3,26,AWAY,0.810867186758182
Alabama,0,14,0,37,HOME,1
South Carolina,0,7,6,3,AWAY,0.514710547566948
Missouri,0,8,5,33,HOME,0.675056331642552
Vanderbilt,0,6,7,25,AWAY,0.509932850757502
