opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,16,HOME,0
New Mexico St,1,3,9,7,HOME,0.153979149049746
Georgia St,1,2,10,9,AWAY,0.19549994605228
Rutgers,0,1,11,28,AWAY,0.138612686040577
South Alabama,0,3,9,10,AWAY,0.214704805609237
UT San Antonio,0,3,9,4,AWAY,0.172267348865855
Louisiana,0,7,7,15,HOME,0.44271414717056
Ga Southern,0,10,3,2,HOME,0.603455934758269
ULM,0,6,6,6,AWAY,0.375198524654095
Appalachian St,0,11,2,31,HOME,0.712850366668184
Troy,0,10,3,5,AWAY,0.591800333421546
Arkansas St,0,8,5,26,HOME,0.530087709394212
