opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,77,HOME,0
Houston,1,8,5,14,HOME,0.479970439263144
Oklahoma St,1,7,6,24,AWAY,0.534968323353985
TCU,1,7,6,3,AWAY,0.487010655749268
Kansas,1,3,9,32,HOME,0.224065447147087
Mississippi,0,5,7,20,NEUTRAL,0.449271175770247
West Virginia,0,8,4,8,HOME,0.656882056858188
Iowa St,0,8,5,9,AWAY,0.561229793368094
Oklahoma,0,12,2,5,HOME,0.764740060188682
Texas,0,10,4,7,HOME,0.640071305086225
Kansas St,0,5,7,15,AWAY,0.47285293300288
Baylor,0,7,6,11,NEUTRAL,0.457475899245689
