opponent,result,win,loss,margin,location,opponent rating
Tulsa,1,3,9,7,HOME,0.241391716481203
USC,1,5,7,23,HOME,0.438914806858621
TCU,1,7,6,15,HOME,0.487010655749268
Kansas St,1,5,7,5,AWAY,0.47285293300288
Oklahoma,1,12,2,3,NEUTRAL,0.764740060188682
Baylor,1,7,6,6,HOME,0.457475899245689
Texas Tech,1,5,7,7,AWAY,0.435467242517456
Iowa St,1,8,5,14,HOME,0.561229793368094
Kansas,1,3,9,7,AWAY,0.224065447147087
Georgia,1,11,3,7,NEUTRAL,0.810867186758182
Maryland,0,5,7,5,AWAY,0.454061818330507
Oklahoma St,0,7,6,3,AWAY,0.534968323353985
West Virginia,0,8,4,1,HOME,0.656882056858188
Oklahoma,0,12,2,12,NEUTRAL,0.764740060188682
