opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,52,HOME,0
Nebraska,1,4,8,5,AWAY,0.415285209031898
ULM,1,6,6,8,AWAY,0.375198524654095
Coastal Car,1,5,7,24,HOME,0.32327706941078
Georgia St,1,2,10,17,HOME,0.19549994605228
South Alabama,1,3,9,21,AWAY,0.214704805609237
Louisiana,1,7,7,10,HOME,0.44271414717056
Ga Southern,1,10,3,14,AWAY,0.603455934758269
Texas St,1,3,9,5,HOME,0.214944336660906
Buffalo,1,10,4,10,NEUTRAL,0.523867008423118
Boise St,0,10,3,36,HOME,0.661241436284587
Liberty,0,6,6,6,AWAY,0.355251247841316
Appalachian St,0,11,2,11,AWAY,0.712850366668184
