opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,25,HOME,0
Memphis,1,8,6,16,HOME,0.524851937999456
Tulsa,1,3,9,7,AWAY,0.241391716481203
South Florida,1,7,6,26,AWAY,0.400887011838441
East Carolina,1,3,9,6,HOME,0.216695196065081
Navy,1,3,10,1,HOME,0.315103022448376
Louisiana,1,7,7,17,NEUTRAL,0.44271414717056
Wake Forest,0,7,6,6,HOME,0.501173626857492
UAB,0,11,3,7,AWAY,0.56055806620704
Ohio St,0,13,1,43,AWAY,0.790511988190006
Cincinnati,0,11,2,16,AWAY,0.655429618417824
SMU,0,5,7,4,HOME,0.332345710726131
Houston,0,8,5,31,AWAY,0.479970439263144
