opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,52,HOME,0
Tulane,1,7,6,7,HOME,0.446451273888092
Charlotte,1,5,7,21,HOME,0.337664457437358
Louisiana Tech,1,8,5,21,AWAY,0.479172964225609
Rice,1,2,11,42,AWAY,0.0981415157038384
North Texas,1,9,4,8,HOME,0.541381233636251
UTEP,1,1,11,19,AWAY,0.0110207184927679
UT San Antonio,1,3,9,49,HOME,0.172267348865855
Southern Miss,1,6,5,3,HOME,0.357423567738257
MTSU,1,8,6,2,AWAY,0.467875704477403
N Illinois,1,8,6,24,NEUTRAL,0.480862392379283
Coastal Car,0,5,7,23,AWAY,0.32327706941078
Texas A&M,0,9,4,21,AWAY,0.664633134138146
MTSU,0,8,6,24,AWAY,0.467875704477403
