opponent,result,win,loss,margin,location,opponent rating
Connecticut,1,1,11,39,AWAY,0.0489040710715356
FCS,1,7,105,38,HOME,0
FL Atlantic,1,5,7,20,HOME,0.464365244957502
Pittsburgh,1,7,7,31,HOME,0.521348597019389
SMU,1,5,7,28,HOME,0.332345710726131
Memphis,1,8,6,1,AWAY,0.524851937999456
East Carolina,1,3,9,27,AWAY,0.216695196065081
Temple,1,8,5,12,HOME,0.522150088392504
Navy,1,3,10,11,HOME,0.315103022448376
Cincinnati,1,11,2,25,HOME,0.655429618417824
South Florida,1,7,6,28,AWAY,0.400887011838441
Memphis,1,8,6,15,HOME,0.524851937999456
LSU,0,10,3,8,NEUTRAL,0.735572309717144
