opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,3,HOME,0
Southern Miss,1,6,5,1,AWAY,0.357423567738257
Coastal Car,1,5,7,25,AWAY,0.32327706941078
Texas St,1,3,9,6,HOME,0.214944336660906
Ga Southern,1,10,3,19,HOME,0.603455934758269
South Alabama,1,3,9,28,AWAY,0.214704805609237
Texas A&M,0,9,4,38,AWAY,0.664633134138146
Troy,0,10,3,8,HOME,0.591800333421546
Georgia St,0,2,10,32,AWAY,0.19549994605228
Mississippi,0,5,7,49,AWAY,0.449271175770247
Arkansas St,0,8,5,14,AWAY,0.530087709394212
Louisiana,0,7,7,3,HOME,0.44271414717056
