opponent,result,win,loss,margin,location,opponent rating
UTEP,1,1,11,28,HOME,0.0110207184927679
FCS,1,7,105,29,HOME,0
San Diego St,1,7,6,3,AWAY,0.453631722244208
Nevada,1,8,5,5,HOME,0.462549617874116
USC,0,5,7,22,AWAY,0.438914806858621
Arkansas St,0,8,5,7,AWAY,0.530087709394212
New Mexico,0,3,9,36,HOME,0.251854482513044
Utah St,0,11,2,31,AWAY,0.709348819577072
Air Force,0,5,7,6,HOME,0.426229925953771
San Jose St,0,1,11,13,AWAY,0.175465955153662
Fresno St,0,12,2,45,HOME,0.717287526132863
Hawaii,0,8,6,7,AWAY,0.408150406620541
