opponent,result,win,loss,margin,location,opponent rating
Florida St,1,5,7,21,AWAY,0.436235351803227
FCS,1,7,105,45,HOME,0
Duke,1,8,5,17,AWAY,0.567534200408638
North Carolina,1,2,9,3,AWAY,0.256631219072605
Virginia,1,8,5,3,HOME,0.562644906315841
Marshall,1,9,4,21,HOME,0.556808262874295
Old Dominion,0,4,8,14,AWAY,0.25538627982597
Notre Dame,0,12,1,22,HOME,0.844437257140175
Georgia Tech,0,7,6,21,HOME,0.487344960542351
Boston College,0,7,5,10,HOME,0.581846892013108
Pittsburgh,0,7,7,30,AWAY,0.521348597019389
Miami FL,0,7,6,24,HOME,0.503470154008589
Cincinnati,0,11,2,4,NEUTRAL,0.655429618417824
