opponent,result,win,loss,margin,location,opponent rating
Tulane,1,7,6,6,AWAY,0.446451273888092
FCS,1,7,105,31,HOME,0
Rice,1,2,11,32,HOME,0.0981415157038384
Louisville,1,2,10,21,AWAY,0.235775221413613
NC State,1,9,4,4,AWAY,0.62288371551841
Duke,1,8,5,52,AWAY,0.567534200408638
Memphis,1,8,6,3,NEUTRAL,0.524851937999456
Boston College,0,7,5,7,HOME,0.581846892013108
Notre Dame,0,12,1,29,HOME,0.844437257140175
Clemson,0,14,0,60,HOME,0.990812692799921
Florida St,0,5,7,21,AWAY,0.436235351803227
Syracuse,0,10,3,17,HOME,0.678292056994081
Pittsburgh,0,7,7,21,HOME,0.521348597019389
