opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,105,42,HOME,0
Utah,1,9,5,14,AWAY,0.608802068565144
Arizona St,1,7,6,7,HOME,0.523774251519672
BYU,1,7,6,28,HOME,0.507034915829849
UCLA,1,3,9,7,AWAY,0.277638620281538
Colorado,1,5,7,14,HOME,0.345555373227308
Stanford,1,9,4,4,HOME,0.614297157377443
Oregon St,1,2,10,19,HOME,0.173945302331521
Washington St,1,11,2,13,AWAY,0.679506486962448
Utah,1,9,5,7,NEUTRAL,0.608802068565144
Auburn,0,8,5,5,NEUTRAL,0.642745675810216
Oregon,0,9,4,3,AWAY,0.520947378286872
California,0,7,6,2,AWAY,0.411141116490325
Ohio St,0,13,1,5,NEUTRAL,0.790511988190006
