opponent,result,win,loss,margin,location,opponent rating
New Mexico St,1,3,9,22,AWAY,0.153979149049746
FCS,1,7,105,3,HOME,0
Colorado St,1,3,9,13,AWAY,0.173139698929123
San Jose St,1,1,11,15,HOME,0.175465955153662
Air Force,1,5,7,8,HOME,0.426229925953771
New Mexico,1,3,9,28,AWAY,0.251854482513044
Washington St,0,11,2,22,HOME,0.679506486962448
Missouri,0,8,5,27,AWAY,0.675056331642552
Boise St,0,10,3,20,HOME,0.661241436284587
Hawaii,0,8,6,4,AWAY,0.408150406620541
Fresno St,0,12,2,24,AWAY,0.717287526132863
Utah St,0,11,2,8,HOME,0.709348819577072
