rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,Boise State,1,1,32.7692307692308,0,Western Athletic Conference,0.681457298890877
2,Stanford,0.923076923076923,0.962219364798557,26.5833333333333,21,Pacific-10 Conference,0.62975135614606
3,Oregon,0.923076923076923,0.954965246321365,30.9166666666667,3,Pacific-10 Conference,0.619823491430289
4,TCU,1,0.933335542648866,29.6153846153846,0,Mountain West Conference,0.590221442297579
5,Auburn,1,0.909368529630124,17.1428571428571,0,Southeastern Conference,0.557420590931602
6,Ohio State,0.923076923076923,0.902821462496575,27.5833333333333,13,Big Ten Conference,0.548460384837206
7,Alabama,0.769230769230769,0.881124707310904,30.6,6,Southeastern Conference,0.518766570125419
8,Oklahoma,0.857142857142857,0.865639722333283,19.9166666666667,11.5,Big 12 Conference,0.497574079740847
9,Virginia Tech,0.785714285714286,0.825379753975272,20.1818181818182,12,Atlantic Coast Conference,0.442474963310198
10,Oklahoma State,0.846153846153846,0.810296536014984,22.5454545454545,8,Big 12 Conference,0.421832324514805
11,Arkansas,0.769230769230769,0.77291814719198,20.1,10.3333333333333,Southeastern Conference,0.370676889468645
12,South Carolina,0.642857142857143,0.772296918453239,21,16,Southeastern Conference,0.369826686261833
13,Wisconsin,0.846153846153846,0.770255640255834,25.8181818181818,6,Big Ten Conference,0.367033027182268
14,Florida State,0.714285714285714,0.757161104811999,21.1,11.75,Atlantic Coast Conference,0.349112065929926
15,Nevada,0.857142857142857,0.752833159531233,23.0833333333333,4.5,Western Athletic Conference,0.343188912645908
16,Missouri,0.769230769230769,0.74060414812302,20.3,8,Big 12 Conference,0.326452493082416
17,Nebraska,0.714285714285714,0.736997594972025,21.4,6.25,Big 12 Conference,0.321516624997314
18,Michigan State,0.846153846153846,0.734511543550317,15.0909090909091,36.5,Big Ten Conference,0.318114256837446
19,North Carolina State,0.692307692307692,0.729697285867867,18,6.25,Atlantic Coast Conference,0.311525544620685
20,LSU,0.846153846153846,0.71348854098246,14.9090909090909,7.5,Southeastern Conference,0.289342528633371
21,Iowa,0.615384615384615,0.702168794826989,21.625,3.6,Big Ten Conference,0.273850514176208
22,West Virginia,0.692307692307692,0.701180380408975,20.1111111111111,7.5,Big East Conference,0.272497786793047
23,Notre Dame,0.615384615384615,0.699254959502154,16,9.8,Independent,0.269862688077044
24,Pittsburgh,0.615384615384615,0.683264500929814,19.875,12.8,Big East Conference,0.247978415078912
